"gcm","ybp","meanAnnualTemp_C"
"ecbilt",21000,-6.09910165502311
"ecbilt",20500,-5.91570466781672
"ecbilt",20000,-5.97481511763032
"ecbilt",19500,-5.88408866651462
"ecbilt",19000,-5.7264546321888
"ecbilt",18500,-5.73469742337236
"ecbilt",18000,-5.61257642656503
"ecbilt",17500,-5.51563726330198
"ecbilt",17000,-4.9159371780981
"ecbilt",16500,-4.1562764625688
"ecbilt",16000,-3.96870322565652
"ecbilt",15500,-3.73774967722129
"ecbilt",15000,-3.41769972907954
"ecbilt",14500,-2.98920373575521
"ecbilt",14000,-0.908058895902764
"ecbilt",13500,0.949519861222784
"ecbilt",13000,1.48755222115468
"ecbilt",12500,1.95281465973564
"ecbilt",12000,2.39850907376205
"ecbilt",11500,2.72247287560418
"ecbilt",11000,3.32379037148508
"ecbilt",10500,4.23840588215077
"ecbilt",10000,4.45462808444491
"ecbilt",9500,4.99496856914079
"ecbilt",9000,5.09072579438597
"ecbilt",8500,5.29740769194515
"ecbilt",8000,5.27713974472972
"ecbilt",7500,5.2272149751055
"ecbilt",7000,5.1221440586613
"ecbilt",6500,5.0989211211475
"ecbilt",6000,5.04751056281204
"ecbilt",5500,5.10758691876916
"ecbilt",5000,5.13220192099962
"ecbilt",4500,5.17036856823404
"ecbilt",4000,5.21244930448712
"ecbilt",3500,5.14867526815703
"ecbilt",3000,5.17437470991529
"ecbilt",2500,5.23396435264679
"ecbilt",2000,5.2693220836641
"ecbilt",1500,5.24427832537473
"ecbilt",1000,5.25593343783404
"ecbilt",500,5.0064301596482
"ecbilt",0,5.3615907687059
"ccsm",21000,-14.1233088841911
"ccsm",20500,-14.1274614485528
"ccsm",20000,-13.9328151050845
"ccsm",19500,-14.0801716065184
"ccsm",19000,-14.1453813623136
"ccsm",18500,-13.9872846123756
"ccsm",18000,-13.8224732162012
"ccsm",17500,-14.1455589323657
"ccsm",17000,-13.9601223242887
"ccsm",16500,-13.4549885053354
"ccsm",16000,-12.7697235808199
"ccsm",15500,-12.1414524602057
"ccsm",15000,-10.9286668360274
"ccsm",14500,-7.93478877926781
"ccsm",14000,-9.07636612842502
"ccsm",13500,-5.05992173880104
"ccsm",13000,-3.46126209593378
"ccsm",12500,-3.89159604090274
"ccsm",12000,-3.09887131206696
"ccsm",11500,-1.24599925960207
"ccsm",11000,-0.116130215036894
"ccsm",10500,1.0867289569569
"ccsm",10000,2.30505642792647
"ccsm",9500,2.90769300338526
"ccsm",9000,3.33212887737788
"ccsm",8500,3.15046199354483
"ccsm",8000,3.62948518211811
"ccsm",7500,4.81889328694046
"ccsm",7000,4.95721634596311
"ccsm",6500,4.90535354749832
"ccsm",6000,5.00607635749837
"ccsm",5500,4.84307569369633
"ccsm",5000,4.83167558537248
"ccsm",4500,5.08848111838112
"ccsm",4000,4.9758023341272
"ccsm",3500,5.06269651752134
"ccsm",3000,5.25602700386015
"ccsm",2500,4.93017769224436
"ccsm",2000,4.83757314478378
"ccsm",1500,5.07679105283506
"ccsm",1000,4.90603994550646
"ccsm",500,5.13673461290704
"ccsm",0,5.23336074358185
